date,explorer_requests,configurator_requests,explorer_users,configurator_users
2026-01-07,531,663,0,0
2026-01-08,531,4,0,0
2026-01-09,583,1230,0,0
2026-01-10,430,617,0,0
2026-01-11,899,218,0,0
2026-01-12,1290,908,0,0
2026-01-13,823,1,0,0
2026-01-14,1297,980,0,0
2026-01-15,9760,1297,0,0
2026-01-16,3092,343,0,0
2026-01-17,2026,0,0,0
2026-01-18,1782,179,0,0
2026-01-19,1730,1,0,0
2026-01-20,1210,849,0,0
2026-01-21,1510,175,0,0
2026-01-22,1216,228,0,0
2026-01-23,861,930,0,0
2026-01-24,1091,505,0,0
2026-01-25,1874,428,0,0
2026-01-26,996,1653,0,0
2026-01-27,2408,471,0,0
2026-01-28,1671,1242,0,0
2026-01-29,1656,650,0,0
2026-01-30,1007,341,0,0
2026-01-31,1300,361,0,0
2026-02-01,1451,1,0,0
2026-02-02,706,345,0,0
2026-02-03,2012,1264,0,0
2026-02-04,1554,1183,0,0
2026-02-05,1195,745,0,0
2026-02-06,1441,523,0,0
2026-02-07,1384,12,0,0
2026-02-08,1751,229,0,0
2026-02-09,2063,1031,0,0
2026-02-10,1997,338,0,0
2026-02-11,2039,1259,0,0
2026-02-12,1839,730,0,0
2026-02-13,1039,167,0,0
2026-02-14,2041,520,0,0
2026-02-15,5139,322,0,0
2026-02-16,1650,2,0,0
2026-02-17,2301,5,0,0
2026-02-18,2340,644,0,0
2026-02-19,4169,2135,0,0
2026-02-20,4189,1511,0,0
2026-02-21,2977,693,0,0
2026-02-22,2910,487,0,0
2026-02-23,4030,1672,0,0
2026-02-24,2593,1718,0,0
2026-02-25,2568,428,0,0
2026-02-26,2927,675,0,0
2026-02-27,3050,1110,0,0
2026-02-28,2416,603,0,0
2026-03-01,2542,174,0,0
2026-03-02,2716,265,0,0
2026-03-03,2566,606,0,0
2026-03-04,2072,372,0,0
2026-03-05,1451,1456,0,0
2026-03-06,1620,1,0,0
2026-03-07,2839,312,0,0
2026-03-08,3020,506,0,0
2026-03-09,2333,542,0,0
2026-03-10,2439,189,0,0
2026-03-11,2117,172,0,0
2026-03-12,2056,522,0,0
2026-03-13,3185,954,0,0
2026-03-14,4778,711,0,0
2026-03-15,10907,1513,0,0
2026-03-16,4858,391,0,0
2026-03-17,3685,799,0,0
2026-03-18,1924,2,0,0
2026-03-19,2279,1111,0,0
2026-03-20,3315,1287,0,0
2026-03-21,2625,460,0,0
2026-03-22,1866,354,0,0
2026-03-23,4097,1102,0,0
2026-03-24,2655,1805,0,0
2026-03-25,2664,732,0,0
2026-03-26,2545,1445,0,0
2026-03-27,2106,0,0,0
2026-03-28,2459,165,0,0
2026-03-29,3003,173,0,0
2026-03-30,3807,615,0,0
2026-03-31,3212,2099,0,0
2026-04-01,3277,1338,0,0
2026-04-02,2020,868,0,0
2026-04-03,2152,881,0,0
2026-04-04,2273,478,0,0
2026-04-05,1920,200,0,0
2026-04-06,3041,1042,0,0
2026-04-07,3174,2398,0,0
2026-04-08,2003,470,0,0
2026-04-09,1856,1822,0,0
2026-04-10,3944,515,0,0
2026-04-11,2257,182,0,0
2026-04-12,3398,1012,0,0
2026-04-13,4942,1713,0,0
2026-04-14,6346,1452,0,0
2026-04-15,16065,7114,0,0
2026-04-16,4728,1449,0,0
2026-04-17,3308,1182,0,0
2026-04-18,3272,174,0,0
2026-04-19,3674,1,0,0
2026-04-20,4018,1076,0,0
2026-04-21,2827,967,0,0
2026-04-22,2778,1015,0,0
2026-04-23,3752,1647,0,0
2026-04-24,2556,677,0,0
2026-04-25,2789,182,0,0
2026-04-26,2788,354,0,0
2026-04-27,4303,545,0,0
2026-04-28,3415,588,0,0
2026-04-29,3286,1069,0,0
2026-04-30,4672,1474,0,0
2026-05-01,7510,1530,0,0
2026-05-02,5338,724,0,0
2026-05-03,3068,900,0,0
2026-05-04,3333,751,0,0
2026-05-05,3556,367,0,0
2026-05-06,2662,915,0,0
